IMG,OBJ,FILT,MJD,SEE,AIRM,EXPTIME,DATE-OBS
h_e_20241029_12_1_1_9.fits,ZTF24abjjpbo,SDSS-R,60613.09319,1.259976,1.478267,120.0,2024-10-30T02:14:11.644
h_e_20241029_13_1_1_9.fits,ZTF24abjjpbo,SDSS-R,60613.095101,1.200234,1.483723,120.0,2024-10-30T02:16:56.737
h_e_20240926_67_1_1_9.fits,ZTF24abjjpbo,SDSS-U,60580.048521,1.948661,1.819415,120.0,2024-09-27T01:09:52.211
h_e_20240927_61_1_1_9.fits,ZTF24abjjpbo,SDSS-U,60581.04038,1.816046,1.876399,120.0,2024-09-28T00:58:08.844
h_e_20240928_91_1_1_9.fits,ZTF24abjjpbo,SDSS-U,60582.039276,1.846409,1.858522,120.0,2024-09-29T00:56:33.485
h_e_20240929_42_1_1_9.fits,ZTF24abjjpbo,SDSS-U,60583.038989,2.340286,1.832921,120.0,2024-09-30T00:56:08.690
h_e_20240930_109_1_1_9.fits,ZTF24abjjpbo,SDSS-U,60584.032444,1.859251,1.873539,120.0,2024-10-01T00:46:43.174
h_e_20241001_60_1_1_9.fits,ZTF24abjjpbo,SDSS-U,60585.042144,2.514824,1.751836,60.0,2024-10-02T01:00:41.220
h_e_20241003_209_1_1_9.fits,ZTF24abjjpbo,SDSS-U,60587.081664,2.886644,1.497937,140.0,2024-10-04T01:57:35.755
h_e_20241004_162_1_1_9.fits,ZTF24abjjpbo,SDSS-U,60588.079841,1.777252,1.494988,140.0,2024-10-05T01:54:58.272
h_e_20241005_141_1_1_9.fits,ZTF24abjjpbo,SDSS-U,60589.0875,1.507552,1.466229,140.0,2024-10-06T02:06:00.041
h_e_20241006_118_1_1_9.fits,ZTF24abjjpbo,SDSS-U,60590.072788,1.676468,1.500207,140.0,2024-10-07T01:44:48.895
h_e_20241007_84_1_1_9.fits,ZTF24abjjpbo,SDSS-U,60591.075131,2.188024,1.48437,140.0,2024-10-08T01:48:11.315
h_e_20241008_59_1_1_9.fits,ZTF24abjjpbo,SDSS-U,60592.084105,3.200173,1.455814,140.0,2024-10-09T02:01:06.642
h_e_20241009_79_1_1_9.fits,ZTF24abjjpbo,SDSS-U,60593.073886,1.496277,1.472858,140.0,2024-10-10T01:46:23.775
h_e_20241010_82_1_1_9.fits,ZTF24abjjpbo,SDSS-U,60594.102193,1.411937,1.428794,140.0,2024-10-11T02:27:09.495
h_e_20241011_84_1_1_9.fits,ZTF24abjjpbo,SDSS-U,60595.061719,1.936585,1.491881,140.0,2024-10-12T01:28:52.501
h_e_20241012_10_1_1_9.fits,ZTF24abjjpbo,SDSS-U,60596.080989,2.677914,1.442519,140.0,2024-10-13T01:56:37.462
h_e_20241013_142_1_1_9.fits,ZTF24abjjpbo,SDSS-U,60597.094843,1.186902,1.428542,140.0,2024-10-14T02:16:34.443
h_e_20241017_39_1_1_9.fits,ZTF24abjjpbo,SDSS-U,60601.039989,1.370234,1.509763,140.0,2024-10-18T00:57:35.045
h_e_20241018_60_1_1_9.fits,ZTF24abjjpbo,SDSS-U,60602.162891,2.054146,1.660551,150.0,2024-10-19T03:54:33.816
h_e_20241024_67_1_1_9.fits,ZTF24abjjpbo,SDSS-U,60608.05252,1.65565,1.437082,150.0,2024-10-25T01:15:37.712
h_e_20241028_35_1_1_9.fits,ZTF24abjjpbo,SDSS-U,60612.076975,1.718755,1.440363,180.0,2024-10-29T01:50:50.622
h_e_20240926_71_1_1_9.fits,ZTF24abjjpbo,SDSS-Z,60580.053143,1.236872,1.775363,60.0,2024-09-27T01:16:31.542
h_e_20240927_65_1_1_9.fits,ZTF24abjjpbo,SDSS-Z,60581.044999,1.68423,1.827322,60.0,2024-09-28T01:04:47.940
h_e_20240928_95_1_1_9.fits,ZTF24abjjpbo,SDSS-Z,60582.043893,1.307069,1.811143,60.0,2024-09-29T01:03:12.373
h_e_20240929_46_1_1_9.fits,ZTF24abjjpbo,SDSS-Z,60583.04361,1.973685,1.787684,60.0,2024-09-30T01:02:47.894
h_e_20240930_113_1_1_9.fits,ZTF24abjjpbo,SDSS-Z,60584.037065,14.78099,1.824718,60.0,2024-10-01T00:53:22.372
h_e_20241001_64_1_1_9.fits,ZTF24abjjpbo,SDSS-Z,60585.047701,2.103126,1.706336,60.0,2024-10-02T01:08:41.392
h_e_20241003_208_1_1_9.fits,ZTF24abjjpbo,SDSS-Z,60587.079713,1.849105,1.504465,60.0,2024-10-04T01:54:47.231
h_e_20241004_161_1_1_9.fits,ZTF24abjjpbo,SDSS-Z,60588.077893,1.316313,1.501363,60.0,2024-10-05T01:52:09.950
h_e_20241005_140_1_1_9.fits,ZTF24abjjpbo,SDSS-Z,60589.08555,1.031394,1.470953,60.0,2024-10-06T02:03:11.516
